	research_title	research_subject
2888	Case Report : A Case of Systemic Lupus Erythematosus Presenting as Malignant Hypertension with Hypertensive Retinopathy = Case Report : A Case of Systemic Lupus Erythematosus Presenting as Malignant Hypertension with Hypertensive Retinopathy	Lupus erythematosus ;  systemic ;  Hypertension ;  malignant
2889	증례 : 치은으로 전이된 비소세포폐암 1예 = Case Reports : A case of non-small cell Lung cancer that metastasized to the gingiva	비소세포폐암 ;  치은 ;  전이성 종양 ;  Non-small cell Lung cancer ;  Gingiva ;  Metastasis
2890	Leri-Weill dyschondrosteosis in a newborn presenting with respiratory failure due to severe micrognathia	SHOX gene ;  Leri-weill dyschondrosteosis ;  Micrognathia ;  Newborn infant
2891	우관상동맥에서 좌심실로 개구되는 관상동맥루 3례 = Three Cases of Coronary Artery Fistyla from Right Coronay to Left Ventricle	관상동맥루 ;  Coronary artery fistula ;  Right coronary artery to left ventricle
2892	증례 : C형 간염 환자의 페그인터페론과 리바비린 병합요법 중 발생한 항CCP항체 양성 류마티스 관절염 1예 = Case Reports : A Case of Anti-Cyclic Citrullinated Peptide Antibody-Positive Rheumatoid Arthritis Following Peginterferon Alpha-2A and Ribavirin Therapy for Chronic Hepatitis C	류마티스관절염 ;  만성 C형 간염 ;  페그인터페론 Arthritis ;  Rheumatoid ;  Hepatitis C ;  Chronic ;  Peginterferon alpha-2a
2893	복강경하 병기설정 수술을 시행한 난소의 Sertoli-Leydig Cell Tumor, 1예 = A case of successful Laparoscopic surgical staging in patient of Sertoli-Leydig cell tumor	Sex cord stromal tumor ;  성색간질종양 ;  복강경하 병기결정수술 ;  Sertoli-Leydig cell tumor ;  Laparoscopic surgical staging
2894	게르마늄 복합물이 비만유도 흰쥐의 체지방 및 체중과 생화학적 변화에 미치는 영향 = The Effect of Germanium Complex on the Body Fat Weight, Body Weight and Serum Biochemical Value in Rat Fed High Fat Diets	STB-BM ;  germanium ;  fat weight ;  body weight ;  triglyceride ;  rat
2895	직장에 발생한 심재성 낭성 대장염(Colitis Cystica Profunda) 및 연소성 정류 용종(Juvenile Retention Polyp)의 혼재형 1례 = A Case of Colitis Cystica Profunda Mixed with Juvenile Retention Polyp in a 7-month-old Infant	Colitis cystica profunda ;  Juvenile retention polyp ;  Colonoscopic polypectomy ;  Infant
2896	혈액투석 환자에서 발생한 간문맥 내 가스를 동반한 장벽기종 1예 = Pneumatosis Intestinalis with Hepatic Portal Venous Gas in a Hemodialysis Patient	Pneumatosis intestinalis ;  Portal vein ;  Hemodialysis
2897	증례 : 순환기 ; 설인신경통과 동반된 실신 환자에서 영구형 인공 심박동기 치료 = Case Reports : Cartiology ; Permanent Pacemaker Implantation in a Patient with Cardiac Syncope Associated with Glossopharyngeal Neuralgia	설인신경통 ;  심장무수축 ;  실신 ;  영구형 인공심박동기 ;  Glossopharyngeal neuralgia ;  Asystole ;  Syncope ;  Pacemaker
2898	Intraosseous Epidermal Cyst of the Distal Phalanx: A Case Report	골내 표피낭종 ;  원위 지골
2899	선택적 함구증을 보이는 15세 남아의 Fluoxetine 치료 경험 1례 = Fluoxetine Treatment in A 15-year-old Male Patient with Elective Mutism : A Case Report	사회 공포증 ;  Fluoxetine ;  선택적 함구증 ;  Social phobia ;  Elective mutism
2900	복수를 동반한 호산구성 위장염 1례 = A Case of Eosinophilic Gastroenteritis with Ascites	Ascites ;  Eosinophilic gastroenteritis
2901	Prader-Willi syndrome 환자의 치과 치료 = 증례보고	Prader-Willi syndrome ;  Hereditary neuropathy ;  Dental management ;  Oral health
2902	배꼽부위에 발생한 기저세포암 = Short Report : Basal Cell Carcinoma of the Umbilicus	Basal cell carcinoma ;  Umbilicus
2903	진행성 골화성 섬유이형성증 - 성인 1례보고 - = Fibrodysplasia Ossificans Progressiva - A Case Report -	진행성 골화성 섬유이형성증 ;  족부 모지 기형 ;  이소성 골형성 ;  선천성 기형
2904	증례 : 호흡기 ; 유방 농양 및 흉막염을 동반한 폐흡충증 1예 = Case Reports : Pulmonology ; A Case of Pleuropulmonary Paragonimiasis with a Breast Abscess as the Ectopic Site	폐흡충증 ;  유방 ;  Paragonimiasis ;  Breast
2905	Case Report : A case of hemocholecyst associated with hemobilia following radiofrequency ablation therapy for hepatocellular carcinoma = Case Report : A case of hemocholecyst associated with hemobilia following radiofrequency ablation therapy for hepatocellular carcinoma	Hemobilia ;  Hemocholecyst ;  Radiofrequency ablation ;  Complication
2906	부신피질 호산성 과립세포종 1예 = A Case of Adrenocortical Oncocytoma	Adrenal neoplasm ;  Oncocytoma ;  Mitochondria ;  Electron microscopy
2907	십이지장에 발생한 고분화 편평세포암종 1예 = A case of well-differentiated squamous cell carcinoma of the duodenum	Duodenum ;  Carcinoma ;  Squamous cell ;  십이지장 ;  편평세포암종
2908	저칼륨혈증성 주기성 마비로 발현한 원발성 쇼그렌 증후군 = A Case of Primary Sjogren`s Syndrome Presenting as Hypokalemic Periodic Paralysis	Hypokalemic paralysis ;  Renal tubular acidosis ;  Sjogren`s syndrome
2909	증례 : 폐경 여성에서 반복적인 기흉으로 발현한 폐 림프관평활근종증 1예 = Case Reports : A case of Lymphangioleiomyomatosis that presented with recurrent pneumothorax in a postmenopausal woman	Lymphangioleiomyomatosis ;  Menopause ;  Pneumothorax ;  폐 림프관평활근종증 ;  폐경 ;  기흉
2910	증례 : 호흡기 ; 내시경적 제거와 단기간 항생제 투여로 완치된 기관지 방선균증 2예 = Case Reports : Pulmonology ; Two cases of endobronchial actinomycosis that were cured by bronchoscopic removal and short-term antibiotic therapy	기관지내 방선균증 ;  이물질 ;  단기간 ;  항생제 ;  Endobronchial actinomycosis ;  Foreign bodies ;  Short-term therapy ;  Antibiotics
2911	안면협부에 발생한 방선균증 1예 = A Case of Actinomycosis of the Zygomatic Region	Actinomycosis ;  Zygomatic region
2912	Toxic Shock Syndrome 의 임상적 분석 = Clincal Manifestations of Toxic Shock Syndrome	Toxic shock syndrome ;  Staphylococcus aureus ;  Multiorgan failure
2913	호산구증다증을 동반한 P-ANCA 양성 괴사성 사구체신염 = A Case of P-ANCA Positive Necrotizing Glomerulonephritis with Eosinophilia	ANCA ;  Pauci-immune crescentic necrotizing glomerulonephritis ;  Eosinophilia
2914	Henoch-Sch&#x00F6;nlein 자반증에서 발생된 단백소실장증 1례 = A Case of Protein Losing Enteropathy Associated with Henoch-Sch&#x00F6;nlein Purpura	Henoch- $Sch{\ddot{o}}nlein$ purpura ;  Protein losing enteropathy
2915	윌리엄스 증후군 환아의 치과적 치험례 = DENTAL MANAGEMENT OF A CHILD WITH WILLIAMS SYNDROME	윌리엄스 증후군 ;  선천성 장애 ;  구강내 소견 ;  Williams syndrome ;  Congenital disorder ;  Oral manifestation
2916	구인두와 성문상부에 발생한 결절 외 비성 NK/T 세포 림프종 1예 = A Case of Extranodal NK/T-cell Lymphoma, Nasal Type of the Oropharynx and Supraglottis	림프종 ;  결절 외 NK/T세포 ;  구인두 ;  성문상부 ;  Lymphoma ;  Extranodal NK/T-Cell ;  Oropharynx ;  Supraglottis
2917	<i>In vitro</i> Stimulation of NK Cells and Lymphocytes Using an Extract Prepared from Mycelial Culture of <i>Ophiocordyceps sinensis</i>	O. sinensis ;  Immune modulation ;  Mycelial extract ;  NK cell
2918	식욕부진과 성장발달지연으로 내원한 소아의 맥락총 유두종 1례 = A Case of Choroid Plexus Papilloma of a Child with Anorexia and Failure to Thrive	Choroid plexus papilloma ;  Childhood
2919	Emphysematous Cystitis with Bladder Rupture by Candida albicans = 방광 파열이 동반된 Candida albicans에 의한 공기증방광염 1예	Emphysematous cystitis ;  Bladder ;  Spontaneous rupture ;  Candida albicans
2920	골화석증 환자에 있어서 삼차 신경통 치험 1례 - 증례보고 - = Trigeminal Neuralgia in a Patient with Osteopetrosis - A Case Report -	Osteopetrosis ;  Trigeminal neuralgia ;  Percutaneous radiofrequency rhizotomy.
2921	당뇨병 환자의 조갑진균증에 관한 임상 및 진균학적 고찰 = Clinical and mycological stydy for onychomycosis associated with diabetes mellitus	Onychomycosis ;  Diabetet mellitus
2922	안와 합병증을 동반한 진균성 부비동염 3례 = Three cases of Fungal Sinusitis with Orbital Complication	진균성 비부동염 ;  안와 합병증 ;  Fungal sinusitis ;  Orbital complication
2923	Carbamazepine에 의한 급성 간질성 신염 1예 = A case of carbamazepine induced acute Interstitial nephritis	Nephritis ;  Interstitial ;  Renal failure ;  Acute ;  Carbamazepine
2924	Echinococcus 감염증 1예 = A Case of Echinococcal infection	Echinococcus granulosus ;  Hydatid Cyst ;  Echinococcosis ;  Hepatic echinococcal cyst
2925	대동맥 전위와 동반된 예각기시(Acute Angle Take-off)로 인한 좌주관상동맥 개구부협착 1예 = A Case of Isolated Left Main Coronary Ostial Stenosis Due to Acute Angle Take-off with Clockwise Rotation of Coronary Sinus confirmed by MRI Image	Coronary stenosis；Magnetic resonance imaging；Acute angle take-off ;  관상동맥 협착 ;  심장 자기공명영상 ;  예각기시
2926	신생아기에 진단된 Citrullinemia 1례 = A Case of Citrullinemia Diagnosed at the Neonatal Period	Citrullinemia ;  Urea cycle ;  Ammonia ;  Amino acid analysis
2927	특발성 원섬유성 사구체신염 (Fibrillary Glomerulonephritis) = A Case of Idiopathic Fibrillary Glomerulonephritis	Fibrillary glomerulonephritis ;  Neph-rotic syndrome
2928	[P543] A case of vitiligo after intense pulsed light treatment on both cheeks = [P543] A case of vitiligo after intense pulsed light treatment on both cheeks	Vitiligo ;  Intense pulsed light ;  Ipl
2929	급성 충수돌기염 소견을 보인 충수돌기 결핵 1예 = A Case of Appendicular Tuberculosis Presenting as Acute Appendicitis	Tuberculosis ;  Appendicitis
2930	Comparison of Hippological Differences Between Jeju Ponies and Jeju Pony Crossbreds: I. The Incidence of Anhidrosis in Two Racepony Populations	Anhidrosis ;  Jeju Pony ;  Jeju Pony crossbreds ;  Racing
2931	경련성 복통을 호소한 급성 간헐성 포르피리아증 1례 = A CASE OF ACUTE INTERMITTENT PORPHYRIA THAT COMPLAINED OF THE CRAMPING ABDOMINAL PAIN	Acute intermittent porphyria(AIP) ;  HMB synthase
2932	Pyogenic Spondylitis in a Healthy Adult Caused by Burkholderia cepacia = 성인에서 발생한 Burkholderia cepacia에 의한 감염성 척추골수염 1예	Burkholderia cepacia ;  Spondylitis
2933	Churg-Strauss 증후군에 동반된 Wells` Syndrome = Bullous Eosinophilic Cellulitis (Wells` Syndrome) in a Patient with Churg-Strauss Syndrome A Case Report and Review of Literatures	Wells` syndrome ;  Eosinophilic cellulitis ;  Churg-Strauss syndrome
2934	증례(症例) : 배액술 및 항결핵제 병합 치료로 성공한 흉벽내 걸핵 1례 = Case Reports : A case of chest wall tuberculosis treated successfully with abscess drainage and antituberculous chemotherapy	Tuberculosis of chest wall ;  drainage ;  antituberculous chemotherapy
2935	만성 누소관염의 임상양상과 치료 = Diagnosis and Treatment of Chronic Canaliculitis	Chronic Canaliculitis ;  One-snip punctoplasty ;  Punctal plug
2936	출혈성 수포와 호흡곤란을 주소로 내원한 발진열  :  1예 보고 A case report = Murine Typhus Presenting as Hemorrhagic Vesicles and Dyspnea	Murine typhus ;  Rickettsia typhi ;  Hemorrhagic vesicles ;  Dyspnea
2937	Uterine Cervix Metastasis in Lung Adenocarcinoma with Anaplastic Lymphoma Kinase Rearrangement	Cervix ;  Metastasis ;  Anaplastic lymphoma kinase ;  Lung neoplasms ;  Adenocarcinoma of lung ;  Crizotinib
2938	광범위 골막외 절제 후 유리 생비골 이식술로 치료한 재발성 골섬유성 이형성증 -1예 보고- = Recurrent Osteofibrous Dysplasia Treated with Wide Extraperiosteal Resection and Vascularized Fibular Graft -A Case Report-	골섬유성 이형성증 ;  광범위 골막외 절제술 ;  생비골 이식술
2939	췌장염과 동반되지 않은 거대 녹각형 췌관결석 = A Large Staghorn Calculus of Pancreatic Duct without pancreatitis in Non - alcoholic Patient	Caculi ;  pancreatic duct
2940	급성췌장염으로 나타난 췌장의 비호지킨 림프종 = Non-Hodgkin`s Lymphoma of the Pancreas Presenting with Acute Pancreatitis as the First Manifestation	Pancreatic lymphoma ;  Acute pancreatitis ;  Non Hodgkins lymphoma
2941	다발성 림프절종대를 동반한 정맥동 조직구증이 연관된 순수 적혈구 무형성증 1예 = A Case of Pure Red Cell Aplasia Associated with Sinus Histiocytosis with Multiple Lymphadenopathy	Pure red cell aplasia ;  Sinus histiocytosis ;  Epstein-Barr virus
2942	척수내 원발성 교세포종의 수술성적과 그 관련인자에 대한 고찰  :  Analysis of Related Factors = The Operative Outcome of Primary Intramedullary Gliomas	Intramedullary glioma ;  Extent of removal ;  Radiation ;  Recurrence ;  Functional outcome
2943	만성 호중구성 백혈병(CNL) 1례 = A Case of Chronic Neutrophilic Leukemia	Chronic neutrophilic leukemia ;  Bleeding tendency ;  Philadelphia chromosome
2944	증례 : 소화기 ; Klebsiella oxytoca에 의한 간농양 1예 = Case Reports : Gastroenterology ; A case of Liver abscess due to Klebsiella oxytoca	Klebsiella oxytoca ;  Liver abscess ;  Hemobilia ;  간농양 ;  혈액담즙증
2945	증례(症例) : 기도협착으로 나타난 재발성 다발성 연골염 1예 = Case Reports : A Case of Relapsing Polychondritis Presenting as a tracheal stenosis	Relapsing polychondritis ;  Tracheal stenosis
2946	원발성 부갑상선기능저하증의 임상적 고찰 = Clinical observations of idiopathic hyopoarathyroidism	Idiopathic hypoparathyroidism ;  Autoimmune polyglandular syndrome
2947	내과적 치료에 반응하지 않은 Lemierre 증후군 1예 = A case of Lemierre syndrome poorly responsive to medical treatment	Lemierre syndrome ;  Pneumonia ;  Empyema ;  Thrombophlebitis ;  Antiphospholipid syndrome ;  Lemierre 증후군 ;  폐렴 ;  농흉 ;  색전 정맥염 ;  항 인지질 증후군
2948	내경 정맥 확장증 3례 = Three Cases of Internal Jugular Phlebectasia	Vein ;  Phlebectasia ;  Internal jugular vein
2949	복막 위점액종 1예 = A Case of Pseudomyxoma Peritonei	Pseudomyxoma peritonei ;  Mucinous cystadenocarcinoma ;  Ovary
2950	증례 : 담관결석을 동반한 총간관 막성구조 1예 = Case Reports : A common hepatic duct web in association with choledocholithiasis	Web ;  Common hepatic duct ;  Choledocholithiasis ;  막성구조 ;  총간관 ;  담관결석
2951	노인에서 거대 복부 종괴를 주소로 나타난 원인 미상의 간세포암 1예 = A Case of Hepatocellular Carcinoma of Unknown Origin, Presenting as Huge Abdominal Mass in an 82-year-old Female Patient	Hepatocellular carcinoma ;  Unknown primary neoplasms
2952	증례 : 지속성 외래 복막투석 환자에서 발생한 비브리오 불니피쿠스(Vibrio vulnificus) 복막염 2예 = Case Reports : Two cases of Vibrio vulnificus peritonitis after ingestion of seafood in patients receiving continuous ambulatory peritoneal dialysis	Continuous ambulatory peritoneal dialysis ;  Peritonitis ;  Vibrio vulnificus ;  Seafood ;  지속성 외래 복막 투석 ;  복막염 ;  비브리오 불니피쿠스 ;  해산 식품
2953	태변 흡인 증후군 신생아에서의 피하지방괴사 1례 = A Case of Subcutaneous Fat Necrosis in Neonate with Meconium Aspiration Syndrome	Subcutaneous fat necrosis in neonate ;  Hypoxic insult
